raf	mek	plc	pip2	pip3	erk	akt	pka	pkc	p38	jnk
34.9000	22.3000	17.2000	50.0000	23.1000	34.3000	51.4000	308.0000	13.2000	38.9000	196.0000
40.7000	24.8000	13.0000	62.6000	38.2000	5.1400	14.7000	673.0000	28.1000	41.8000	23.1000
45.7000	15.7000	13.2000	21.3000	7.5000	23.9000	49.1000	1382.0000	19.5000	38.5000	20.9000
43.7000	29.2000	14.5000	17.6000	13.1000	8.5800	12.5000	621.0000	34.0000	67.9000	28.1000
79.9000	80.6000	4.4100	209.0000	19.5000	10.5000	35.5000	422.0000	26.9000	40.3000	15.3000
56.7000	17.3000	21.7000	18.1000	12.7000	9.2200	22.9000	552.0000	38.5000	59.9000	17.9000
58.8000	19.5000	2.5700	41.4000	2.2100	19.1000	33.7000	325.0000	22.9000	31.9000	20.7000
53.8000	12.7000	10.9000	12.4000	30.8000	20.2000	37.9000	403.0000	22.5000	38.5000	20.9000
58.3000	23.1000	18.9000	79.1000	24.4000	36.2000	48.7000	429.0000	14.7000	28.9000	12.6000
160.0000	28.1000	7.1000	115.0000	16.1000	4.9600	12.4000	1241.0000	2.4600	31.3000	83.5000
45.3000	9.3900	12.2000	53.8000	27.6000	4.2900	27.6000	599.0000	38.2000	80.6000	139.0000
54.7000	28.4000	8.3500	9.3900	20.7000	38.5000	59.9000	898.0000	12.7000	23.7000	13.5000
85.1000	26.9000	25.3000	47.8000	22.9000	13.6000	14.2000	396.0000	4.7400	8.9800	43.3000
109.0000	43.7000	9.4700	343.0000	60.4000	27.1000	42.6000	319.0000	14.9000	37.9000	17.8000
25.7000	15.3000	1.0000	120.0000	23.7000	2.6900	18.9000	10.2000	4.9600	40.3000	221.0000
50.5000	28.1000	27.6000	28.9000	13.8000	14.7000	24.8000	382.0000	15.3000	20.0000	7.7000
69.2000	17.8000	17.8000	62.1000	23.1000	2.7100	13.3000	562.0000	4.4500	20.0000	105.0000
62.6000	19.3000	8.5100	20.9000	39.2000	4.4900	24.8000	474.0000	23.5000	48.7000	22.5000
67.9000	43.7000	11.4000	19.3000	15.8000	17.8000	38.5000	1433.0000	31.9000	66.7000	40.0000
75.0000	57.8000	4.9100	15.4000	24.6000	21.9000	36.2000	233.0000	21.3000	46.1000	17.0000
50.9000	42.2000	7.5700	122.0000	48.3000	6.2600	36.2000	1027.0000	12.5000	32.8000	108.0000
79.9000	20.4000	24.1000	22.5000	20.0000	8.8200	24.1000	466.0000	19.1000	34.9000	6.1500
62.6000	21.7000	21.9000	22.1000	3.8200	39.2000	75.7000	1310.0000	8.7400	22.7000	11.7000
50.9000	25.3000	6.3800	76.4000	17.2000	9.0600	15.4000	673.0000	4.6600	26.9000	173.0000
75.0000	30.5000	13.6000	51.4000	42.2000	25.3000	35.5000	466.0000	20.4000	43.7000	10.1000
59.4000	25.3000	11.7000	20.7000	27.9000	3.6200	12.4000	29.7000	17.2000	32.5000	10.5000
181.0000	37.9000	1.0000	292.0000	49.6000	6.3800	13.1000	573.0000	20.9000	38.2000	17.6000
69.8000	33.1000	12.7000	67.3000	1.9100	4.0700	27.1000	973.0000	85.8000	121.0000	32.5000
57.3000	19.1000	11.1000	42.2000	6.6100	5.8300	13.5000	547.0000	44.9000	80.6000	71.7000
82.8000	30.5000	13.9000	18.6000	6.9200	23.5000	37.5000	418.0000	6.5500	16.7000	95.6000
35.5000	24.6000	15.7000	35.5000	11.9000	21.9000	45.7000	322.0000	6.7900	23.3000	11.9000
80.6000	27.9000	17.9000	42.6000	17.3000	2.8400	20.7000	188.0000	20.7000	33.1000	17.5000
113.0000	45.7000	10.8000	154.0000	58.3000	13.1000	21.5000	337.0000	5.4700	20.0000	9.3900
8.9000	10.1000	10.3000	89.0000	29.4000	181.0000	355.0000	1731.0000	24.1000	42.2000	20.7000
35.2000	14.1000	7.1000	20.2000	32.2000	12.9000	22.5000	583.0000	37.5000	47.4000	9.4700
24.1000	12.3000	12.7000	62.6000	26.7000	9.1400	16.5000	547.0000	25.7000	59.9000	80.6000
164.0000	33.1000	5.7800	28.6000	13.7000	16.3000	24.1000	319.0000	22.5000	35.5000	12.4000
57.8000	27.1000	15.5000	57.3000	19.5000	25.9000	34.6000	382.0000	3.0500	27.1000	78.4000
90.6000	27.4000	40.0000	97.3000	71.0000	10.9000	18.9000	429.0000	4.4500	42.9000	80.6000
38.5000	12.7000	4.3700	22.7000	23.7000	4.2200	10.8000	578.0000	1.8600	7.3700	3.4300
51.4000	36.8000	12.7000	40.3000	21.7000	12.7000	25.9000	667.0000	2.5000	14.9000	64.9000
26.9000	15.1000	18.6000	20.5000	8.4300	20.4000	38.5000	437.0000	11.7000	24.4000	15.4000
56.2000	21.1000	12.7000	21.1000	57.8000	14.1000	19.8000	474.0000	25.9000	39.6000	75.7000
70.4000	35.5000	18.4000	45.7000	47.8000	18.8000	31.6000	418.0000	10.0000	22.3000	6.6700
58.8000	35.2000	12.2000	16.5000	24.1000	18.4000	33.7000	362.0000	16.3000	19.8000	10.4000
69.2000	35.5000	17.3000	50.0000	19.8000	8.5100	18.6000	151.0000	12.0000	31.1000	27.6000
69.8000	47.0000	25.5000	276.0000	77.0000	32.8000	51.4000	799.0000	19.6000	47.8000	16.4000
105.0000	59.9000	20.0000	19.6000	15.1000	6.8500	23.1000	1065.0000	1.6700	48.3000	4.6600
62.1000	51.9000	13.6000	30.2000	10.6000	14.3000	37.9000	692.0000	6.4900	25.0000	91.4000
75.0000	33.4000	1.0000	31.6000	1.0000	19.8000	27.6000	505.0000	18.6000	31.1000	7.6400
20.4000	15.1000	7.9900	101.0000	35.9000	9.1400	22.9000	400.0000	11.7000	22.7000	6.8500
47.8000	19.6000	17.5000	33.1000	82.0000	17.9000	35.2000	956.0000	22.5000	43.3000	20.0000
59.9000	53.3000	11.8000	77.7000	12.9000	11.1000	37.9000	1407.0000	18.8000	29.4000	16.8000
46.6000	27.1000	12.4000	109.0000	21.9000	21.5000	38.2000	207.0000	11.0000	31.3000	12.0000
51.9000	21.3000	49.1000	58.8000	10.8000	58.8000	200.0000	3051.0000	15.3000	39.2000	15.7000
31.9000	23.9000	15.1000	12.7000	4.6100	6.7300	15.0000	562.0000	1.0000	68.5000	8.2000
93.9000	27.4000	67.3000	138.0000	30.8000	28.1000	46.1000	906.0000	2.6900	6.9800	71.0000
64.9000	23.3000	15.3000	12.6000	9.0600	19.6000	35.2000	806.0000	2.3700	20.0000	7.9100
153.0000	123.0000	12.0000	34.6000	63.8000	8.5800	26.2000	470.0000	1.0000	12.0000	9.9100
16.7000	12.4000	7.0400	235.0000	34.9000	44.9000	64.9000	1843.0000	23.5000	36.2000	30.5000
71.7000	25.5000	13.1000	12.0000	43.3000	12.2000	31.3000	655.0000	7.7000	16.4000	49.1000
35.5000	23.7000	2.8900	4.2600	12.9000	13.0000	22.7000	470.0000	7.7700	33.4000	16.3000
83.5000	61.5000	13.0000	34.6000	12.3000	3.4600	19.5000	239.0000	2.5300	2.6900	6.1000
31.9000	8.8200	12.9000	154.0000	56.7000	16.8000	16.0000	433.0000	9.5600	48.7000	54.2000
29.4000	20.2000	7.7000	125.0000	27.4000	89.0000	150.0000	799.0000	2.7100	15.4000	49.1000
302.0000	325.0000	17.6000	25.7000	10.7000	29.2000	38.2000	313.0000	10.8000	36.5000	17.2000
40.3000	16.5000	11.5000	505.0000	67.3000	19.3000	29.7000	483.0000	2.9200	15.3000	89.0000
29.2000	15.4000	9.7300	23.1000	71.0000	6.3800	47.0000	557.0000	20.0000	24.6000	7.7000
46.1000	25.7000	12.7000	24.4000	37.2000	16.8000	35.9000	375.0000	5.4700	39.2000	95.6000
52.3000	21.5000	27.1000	155.0000	67.9000	7.2300	23.9000	820.0000	3.5900	25.0000	93.1000
48.7000	36.5000	18.6000	10.6000	13.9000	6.1000	25.9000	1009.0000	10.2000	22.7000	15.3000
85.8000	82.0000	120.0000	325.0000	79.1000	6.6100	10.9000	723.0000	12.1000	21.9000	5.4200
75.7000	25.9000	21.5000	64.4000	45.3000	8.2800	28.4000	583.0000	15.7000	36.8000	13.7000
58.3000	21.9000	14.9000	18.4000	30.2000	5.4700	17.2000	982.0000	16.3000	21.5000	15.5000
58.8000	34.9000	13.3000	82.8000	38.2000	22.5000	27.9000	379.0000	6.5500	18.4000	48.7000
112.0000	27.6000	28.4000	67.9000	30.5000	10.8000	16.7000	403.0000	17.8000	29.7000	7.7700
66.7000	29.2000	2.3900	10.9000	32.2000	22.9000	32.2000	379.0000	14.3000	30.8000	17.6000
39.6000	23.9000	6.6100	137.0000	20.4000	22.7000	38.2000	313.0000	16.1000	20.0000	10.5000
36.5000	15.5000	2.5500	8.3500	40.0000	15.8000	34.6000	281.0000	21.3000	28.6000	13.9000
38.2000	25.7000	32.2000	59.4000	138.0000	24.1000	36.5000	331.0000	38.5000	67.9000	16.3000
41.8000	21.3000	9.3900	7.9100	32.5000	13.3000	61.0000	858.0000	2.8100	17.3000	64.4000
62.1000	18.1000	24.8000	113.0000	25.5000	17.0000	34.6000	604.0000	4.2600	13.5000	72.3000
167.0000	79.1000	9.6500	111.0000	20.2000	28.4000	89.0000	1472.0000	20.4000	29.2000	12.9000
55.7000	28.6000	25.9000	51.9000	64.9000	7.5000	17.6000	271.0000	2.2100	4.4500	9.7300
84.3000	71.7000	12.9000	93.1000	36.5000	8.9000	17.8000	906.0000	9.0600	25.0000	42.2000
60.4000	25.3000	19.1000	27.4000	44.5000	44.5000	64.9000	1197.0000	20.9000	49.6000	17.5000
57.3000	21.9000	38.2000	38.5000	81.3000	5.8300	12.9000	274.0000	16.0000	21.5000	14.9000
76.4000	32.8000	30.0000	60.4000	49.6000	5.4700	14.3000	87.4000	11.1000	27.4000	7.4300
96.5000	119.0000	15.5000	71.0000	13.9000	19.5000	32.2000	500.0000	50.9000	75.0000	26.9000
38.5000	17.8000	32.2000	115.0000	61.0000	10.6000	21.3000	965.0000	5.0000	20.4000	34.9000
66.1000	46.6000	7.7000	19.6000	75.7000	15.7000	17.8000	519.0000	12.0000	13.8000	14.9000
112.0000	79.1000	7.3700	15.0000	35.9000	10.6000	32.2000	382.0000	14.9000	31.1000	12.0000
47.0000	22.3000	12.2000	73.0000	24.1000	3.4900	11.4000	340.0000	5.6200	13.9000	93.9000
87.4000	54.7000	19.6000	8.5800	24.8000	15.8000	33.1000	757.0000	24.6000	40.7000	25.0000
57.8000	19.1000	22.9000	19.1000	11.3000	18.8000	57.3000	743.0000	8.6600	8.3500	24.4000
92.2000	31.1000	18.9000	22.3000	34.3000	13.6000	29.4000	385.0000	7.2300	17.6000	7.9900
93.1000	28.9000	9.5600	11.4000	23.1000	20.4000	24.8000	319.0000	4.1400	20.2000	122.0000
107.0000	36.8000	16.0000	38.9000	29.2000	18.8000	28.1000	276.0000	1.8300	25.5000	97.3000
80.6000	56.7000	16.1000	27.6000	4.0300	5.2800	5.8800	491.0000	3.5200	5.5700	24.4000
44.9000	25.3000	1.0000	158.0000	12.3000	14.2000	26.2000	514.0000	6.5500	16.1000	33.7000
27.4000	18.8000	9.6500	13.2000	9.7300	18.6000	54.7000	286.0000	1.8800	19.8000	88.2000
31.6000	25.7000	24.6000	35.2000	25.7000	14.1000	25.7000	284.0000	20.4000	28.4000	48.3000
52.3000	33.4000	8.1300	25.5000	5.7300	30.5000	42.9000	305.0000	34.9000	68.5000	20.4000
71.7000	27.4000	8.8200	18.3000	23.1000	14.1000	27.4000	649.0000	3.8200	20.2000	53.8000
44.5000	26.9000	15.5000	87.4000	12.5000	4.5300	16.0000	379.0000	3.6800	32.5000	77.0000
74.3000	27.4000	16.4000	22.7000	2.0000	6.2600	15.1000	457.0000	13.6000	24.6000	6.5500
44.1000	20.2000	13.9000	17.8000	39.2000	22.3000	30.2000	487.0000	30.5000	40.0000	23.7000
42.9000	22.9000	17.3000	17.8000	21.9000	13.1000	36.8000	710.0000	12.6000	24.4000	65.5000
79.1000	26.4000	1.1900	3.9600	41.4000	8.0600	20.4000	509.0000	3.6800	16.0000	63.2000
89.0000	30.0000	44.9000	47.0000	7.3700	52.8000	97.3000	2288.0000	69.8000	94.7000	8.2800
63.2000	27.4000	14.5000	80.6000	41.0000	15.1000	38.2000	453.0000	13.6000	32.8000	13.1000
27.9000	20.7000	25.3000	70.4000	42.2000	6.9800	21.3000	313.0000	24.8000	44.5000	23.1000
69.8000	22.9000	19.3000	17.5000	9.7300	20.7000	28.1000	255.0000	13.0000	25.3000	9.7300
28.9000	15.7000	22.7000	37.9000	49.1000	13.0000	23.5000	509.0000	22.1000	53.8000	35.9000
102.0000	30.8000	7.1700	82.0000	49.1000	20.2000	25.0000	343.0000	3.9600	26.9000	87.4000
59.4000	25.3000	14.9000	61.5000	26.2000	22.5000	36.5000	239.0000	2.7400	14.5000	77.7000
89.8000	31.3000	18.8000	22.5000	8.7400	25.0000	37.5000	426.0000	29.7000	60.4000	24.1000
200.0000	33.1000	19.5000	56.2000	16.1000	21.7000	35.5000	305.0000	4.2600	14.2000	95.6000
62.1000	18.1000	14.9000	149.0000	62.1000	4.4900	20.7000	698.0000	44.1000	125.0000	57.3000
46.1000	23.7000	17.9000	276.0000	41.4000	15.0000	19.5000	334.0000	16.7000	31.6000	11.8000
149.0000	85.1000	8.4300	7.9900	17.8000	29.2000	69.2000	1208.0000	26.4000	46.6000	30.0000
8.9000	15.5000	7.9100	153.0000	16.0000	40.3000	61.5000	1582.0000	12.2000	25.7000	12.0000
109.0000	40.0000	9.8200	24.4000	73.0000	12.3000	23.1000	487.0000	17.9000	30.8000	15.1000
71.7000	42.9000	31.1000	23.9000	10.5000	8.1300	34.9000	2571.0000	1.0000	33.4000	1.0100
68.5000	24.4000	16.3000	47.8000	13.9000	5.9400	17.2000	649.0000	18.6000	38.5000	17.8000
79.9000	44.1000	4.4500	89.8000	28.1000	39.2000	82.8000	632.0000	20.4000	51.4000	35.9000
85.1000	34.9000	1.0000	325.0000	23.5000	44.1000	86.6000	799.0000	23.9000	41.8000	16.7000
196.0000	163.0000	3.8500	311.0000	59.9000	22.9000	25.3000	470.0000	2.1500	6.6100	2.8100
38.5000	17.3000	25.7000	26.4000	10.9000	29.4000	42.6000	322.0000	23.3000	37.5000	19.3000
64.4000	50.9000	12.7000	12.4000	3.1100	22.5000	30.0000	573.0000	25.0000	54.7000	20.9000
97.3000	22.7000	17.5000	101.0000	31.3000	19.6000	25.3000	352.0000	13.9000	36.2000	9.8200
79.1000	28.4000	7.3000	6.7300	66.7000	27.4000	53.3000	1655.0000	40.0000	66.1000	20.4000
106.0000	24.8000	1.3500	61.0000	16.1000	70.4000	108.0000	1018.0000	15.4000	31.9000	14.2000
76.4000	30.8000	8.5100	141.0000	12.1000	19.3000	34.0000	297.0000	6.1500	29.4000	118.0000
108.0000	30.8000	21.5000	41.0000	30.8000	6.6100	27.4000	1094.0000	11.5000	30.2000	67.3000
53.3000	34.6000	18.3000	41.0000	56.2000	3.7900	30.8000	965.0000	3.4300	16.4000	70.4000
27.9000	19.3000	24.4000	106.0000	23.7000	14.7000	21.3000	519.0000	14.9000	36.2000	16.5000
69.8000	26.2000	21.9000	20.4000	17.0000	18.9000	45.3000	533.0000	2.4100	9.4700	74.3000
7.2300	5.8800	17.8000	119.0000	14.1000	8.8200	23.7000	445.0000	3.0000	18.1000	66.7000
49.1000	18.8000	14.9000	29.4000	15.0000	17.6000	28.1000	470.0000	1.8800	21.9000	59.4000
42.6000	15.7000	53.3000	62.6000	16.5000	3.7900	10.3000	552.0000	6.9800	44.9000	271.0000
16.5000	22.9000	9.2200	10.9000	46.1000	3.5900	13.6000	874.0000	12.5000	28.1000	2.8900
101.0000	61.0000	17.9000	13.0000	27.9000	7.9900	11.1000	215.0000	5.1400	11.4000	58.8000
59.9000	21.9000	11.5000	17.2000	13.3000	8.8200	24.8000	965.0000	9.2200	44.9000	3.8500
102.0000	46.1000	11.3000	104.0000	13.3000	36.8000	65.5000	914.0000	13.7000	33.4000	11.0000
142.0000	101.0000	26.9000	422.0000	101.0000	11.3000	19.5000	649.0000	8.4300	29.2000	138.0000
61.5000	17.2000	17.8000	10.1000	16.7000	14.9000	33.1000	542.0000	11.1000	20.9000	154.0000
54.7000	20.4000	15.5000	35.2000	32.5000	11.7000	18.1000	599.0000	1.6300	17.5000	67.9000
50.5000	19.5000	4.7800	13.6000	24.8000	11.7000	28.9000	509.0000	18.3000	39.6000	23.3000
34.0000	13.3000	26.7000	38.2000	98.2000	34.0000	59.4000	704.0000	32.8000	63.2000	50.9000
48.7000	19.5000	32.8000	43.7000	44.9000	8.5800	24.4000	466.0000	1.6000	20.4000	64.9000
70.4000	25.3000	12.3000	145.0000	21.1000	4.5300	24.6000	255.0000	4.8300	18.8000	51.9000
45.7000	19.1000	6.3200	94.7000	17.2000	8.4300	16.0000	244.0000	3.0800	23.5000	93.9000
78.4000	33.1000	25.3000	27.4000	46.6000	66.7000	164.0000	3220.0000	17.8000	29.7000	18.3000
17.6000	11.4000	32.5000	94.7000	117.0000	23.7000	36.5000	355.0000	9.8200	23.1000	18.9000
29.4000	26.4000	15.1000	21.5000	8.1300	15.4000	71.7000	610.0000	2.0700	22.1000	57.3000
63.8000	21.1000	7.6400	38.2000	50.0000	4.4100	13.9000	461.0000	20.5000	31.3000	13.2000
227.0000	155.0000	28.6000	32.8000	22.3000	10.8000	10.1000	362.0000	19.6000	39.2000	12.1000
64.4000	29.7000	13.7000	33.4000	8.5800	7.7000	23.1000	1252.0000	12.6000	25.3000	1.1100
57.8000	15.3000	19.5000	71.0000	31.6000	14.3000	17.9000	505.0000	18.9000	38.9000	33.1000
75.0000	23.7000	13.5000	178.0000	31.6000	21.5000	33.1000	255.0000	28.1000	43.7000	12.5000
48.7000	25.0000	52.3000	109.0000	16.3000	6.8500	17.8000	445.0000	3.8500	16.0000	63.8000
61.0000	53.3000	27.4000	32.5000	3.7200	9.5600	25.7000	1346.0000	1.4200	19.6000	79.9000
96.5000	46.1000	16.1000	15.5000	31.6000	3.8500	22.3000	5.5700	6.1500	32.5000	73.0000
54.7000	26.2000	12.5000	93.9000	14.9000	11.5000	18.6000	474.0000	16.4000	24.1000	7.3000
118.0000	39.2000	66.1000	75.0000	14.1000	4.3300	11.1000	562.0000	18.3000	36.5000	13.3000
96.5000	56.2000	29.7000	39.2000	16.1000	12.2000	37.9000	1000.0000	17.3000	47.0000	23.1000
89.0000	52.8000	24.4000	18.9000	3.8500	23.1000	42.9000	710.0000	21.1000	37.9000	18.6000
25.3000	38.5000	21.5000	48.3000	75.0000	19.1000	33.7000	308.0000	89.0000	138.0000	46.6000
96.5000	46.1000	20.9000	51.4000	14.5000	53.3000	118.0000	882.0000	3.3400	12.9000	30.5000
62.6000	34.9000	18.1000	133.0000	30.0000	21.5000	24.1000	403.0000	9.5600	21.3000	13.6000
18.3000	20.0000	47.4000	75.7000	63.2000	13.3000	19.3000	400.0000	19.3000	31.9000	29.4000
65.5000	32.5000	12.9000	17.0000	12.7000	18.8000	31.1000	334.0000	5.8800	33.1000	138.0000
85.1000	41.0000	14.9000	32.2000	27.4000	38.5000	47.0000	777.0000	6.3800	23.1000	56.2000
79.9000	25.0000	36.5000	26.2000	42.6000	4.9100	9.9100	385.0000	5.4200	25.9000	98.2000
42.2000	20.2000	8.2000	26.9000	23.9000	19.1000	40.3000	422.0000	22.9000	32.5000	24.4000
61.0000	19.1000	10.2000	68.5000	28.6000	10.9000	6.5500	267.0000	20.5000	43.7000	21.9000
17.5000	10.9000	6.1000	155.0000	21.3000	17.2000	26.4000	389.0000	17.3000	47.0000	23.7000
36.5000	22.3000	33.4000	63.8000	126.0000	9.7300	19.8000	552.0000	20.9000	34.6000	15.4000
14.6000	14.9000	21.7000	167.0000	31.3000	19.1000	32.8000	286.0000	5.1900	15.5000	108.0000
17.3000	24.4000	25.7000	26.9000	8.5800	21.5000	36.2000	284.0000	17.0000	35.2000	14.9000
63.2000	10.9000	65.5000	127.0000	29.7000	26.9000	53.8000	337.0000	25.9000	38.9000	20.5000
35.2000	16.0000	12.5000	157.0000	48.3000	15.5000	117.0000	1499.0000	28.9000	46.1000	10.7000
57.3000	27.6000	14.5000	173.0000	37.2000	5.5700	12.4000	604.0000	15.8000	37.2000	18.8000
24.4000	15.5000	15.0000	114.0000	15.8000	16.7000	30.0000	1000.0000	13.6000	20.5000	17.3000
69.8000	40.7000	14.6000	135.0000	27.9000	29.2000	42.9000	385.0000	14.3000	24.1000	9.0600
74.3000	35.9000	44.9000	53.8000	75.0000	10.6000	33.1000	1382.0000	10.6000	28.9000	4.2600
101.0000	35.5000	16.5000	88.2000	16.8000	49.6000	72.3000	730.0000	17.2000	32.5000	17.9000
41.4000	17.2000	22.1000	21.1000	12.7000	23.9000	34.3000	379.0000	1.0000	13.2000	8.6600
82.0000	66.1000	11.4000	17.2000	32.8000	5.2800	12.3000	158.0000	25.7000	63.2000	31.9000
86.6000	38.2000	18.8000	10.3000	2.4800	19.5000	31.3000	382.0000	18.8000	30.5000	3.4900
14.1000	7.2300	20.7000	155.0000	13.5000	17.3000	86.6000	195.0000	20.5000	38.2000	15.8000
89.8000	52.3000	2.8100	14.5000	49.1000	38.2000	83.5000	750.0000	25.5000	41.0000	15.0000
97.3000	41.4000	27.6000	178.0000	48.3000	11.3000	27.1000	528.0000	3.8200	14.6000	68.5000
26.9000	13.7000	11.0000	34.9000	35.5000	17.5000	39.2000	505.0000	13.9000	30.2000	10.2000
89.0000	21.3000	13.7000	20.7000	15.5000	3.3100	13.7000	407.0000	1.7800	1.5300	55.2000
66.1000	23.9000	17.6000	12.6000	20.0000	21.7000	35.9000	269.0000	24.4000	36.5000	11.3000
129.0000	53.3000	25.3000	382.0000	87.4000	7.6400	8.1300	305.0000	6.4900	40.3000	87.4000
39.2000	19.3000	37.5000	85.8000	46.1000	7.2300	12.1000	599.0000	21.9000	47.0000	17.8000
25.0000	18.6000	4.0300	12.0000	36.2000	29.7000	41.0000	346.0000	5.7800	11.9000	26.4000
45.7000	19.3000	7.1700	98.2000	29.7000	5.3300	22.9000	365.0000	23.3000	40.0000	21.1000
62.1000	20.5000	25.0000	57.3000	12.1000	14.9000	21.5000	422.0000	1.0000	89.0000	1.5700
71.0000	32.5000	20.2000	83.5000	131.0000	4.8300	20.5000	25.3000	23.9000	37.5000	17.8000
50.0000	31.6000	6.6700	11.3000	14.9000	14.7000	113.0000	181.0000	17.5000	28.6000	9.2200
102.0000	31.6000	4.4100	12.9000	21.7000	8.5800	18.3000	523.0000	10.1000	33.4000	104.0000
63.2000	24.6000	11.2000	16.5000	3.1100	6.4400	17.5000	542.0000	3.4900	9.8200	4.5300
233.0000	66.1000	14.5000	87.4000	20.4000	13.3000	18.4000	359.0000	1.0000	18.9000	58.8000
38.9000	24.1000	18.9000	36.8000	17.5000	42.6000	80.6000	1075.0000	11.8000	35.9000	11.3000
98.2000	44.1000	6.0400	23.1000	16.1000	12.0000	22.7000	547.0000	22.9000	50.5000	15.4000
38.9000	24.6000	8.6600	6.4900	26.2000	22.7000	26.7000	219.0000	10.7000	39.6000	71.7000
87.4000	29.4000	22.5000	22.7000	13.9000	26.2000	47.8000	311.0000	10.8000	13.8000	9.6500
75.7000	21.5000	1.0000	71.7000	2.2700	6.2600	15.5000	418.0000	14.7000	28.9000	12.7000
79.9000	18.9000	15.7000	80.6000	23.7000	7.7700	15.1000	396.0000	20.0000	32.8000	18.6000
52.8000	19.5000	19.3000	54.7000	47.4000	43.7000	57.3000	661.0000	11.2000	38.9000	98.2000
63.8000	17.0000	33.7000	35.2000	12.9000	70.4000	109.0000	1358.0000	9.7300	25.9000	91.4000
107.0000	44.9000	7.9900	17.6000	45.7000	7.8400	21.1000	500.0000	4.5300	12.4000	69.8000
59.4000	18.4000	17.0000	76.4000	16.3000	31.1000	59.4000	667.0000	18.4000	51.9000	18.4000
106.0000	74.3000	48.7000	61.5000	24.8000	16.0000	36.2000	542.0000	7.7000	27.9000	167.0000
71.0000	40.7000	11.7000	16.8000	14.5000	7.9900	16.7000	655.0000	24.8000	43.3000	14.3000
21.5000	13.1000	23.7000	24.4000	17.0000	4.2900	11.1000	392.0000	12.3000	27.9000	29.2000
149.0000	51.4000	33.7000	120.0000	31.6000	29.4000	54.2000	1762.0000	19.1000	26.7000	8.9000
25.9000	12.3000	17.8000	112.0000	18.1000	17.9000	36.5000	346.0000	5.0000	21.1000	57.3000
64.4000	48.3000	12.3000	30.0000	35.2000	13.3000	34.9000	349.0000	13.7000	31.1000	16.1000
36.2000	11.3000	15.5000	16.4000	37.9000	15.3000	22.9000	414.0000	4.1400	10.4000	68.5000
